,author_id,created_at,id,public_metrics,referenced_tweets,text
1,111654767,2022-09-16 15:41:41+00:00,1570800096157270018,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570398364352782336 type=replied_to],"@ingfreder @petrogustavo No solo se dió por enterada , si no que lo soluciono. En menos de un mes lo que no hizo Duque en 4 años."
2,220029882,2022-09-16 15:41:38+00:00,1570800082982936582,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570799580186550274 type=replied_to],@wilsonariasc @petrogustavo Expresidente de colpensiones hoy de la mano con el comunismo? Vaya credibilidad.
3,141704590,2022-09-16 15:41:31+00:00,1570800053790609409,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1569471392579727360 type=replied_to],"@pacho251068 @petrogustavo Lider del ""cambio"" zoquetes https://t.co/k34YY7aM9I"
4,825853296418107392,2022-09-16 15:41:25+00:00,1570800030050820096,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570758420248272897 type=replied_to],"@petrogustavo Excelente y la inteligencia aeronáutica,AI, para saber con presicion dónde están los criminales sin afectar la población y evitar más muertes de Soldados y Policías. Dron antiradar y autonomía ilimitada, desde más de 30.000 pies de altura. https://t.co/v1XHwpvrg1"
6,587855984,2022-09-16 15:41:08+00:00,1570799956969263104,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570573991093600256 type=replied_to],"@JuanFVilla @petrogustavo @IvanDuque Ojo que el @CundinamarcaGob gobernador quiere sacarle provecho, siendo así bloquearemos la vía ZIPA_ PACHO por el peaje que inventaron para pagar nómina paralela. @alcaldiapacho @InviasOficial"
7,796338821180887040,2022-09-16 15:41:04+00:00,1570799940737323010,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570789680207233024 type=replied_to],@ghitis @petrogustavo
8,2980130259,2022-09-16 15:40:57+00:00,1570799911733719042,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1568421480379125760 type=replied_to],@palmer1505 @IndioNasa @petrogustavo Desgraciadamente
11,731310280425213952,2022-09-16 15:40:46+00:00,1570799863272448000,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570758420248272897 type=replied_to],@petrogustavo Señor presidente soy un ciudadano más que voto por su proyecto de país de los que utilizo su motocicleta para recoger votantes sin intenciones de remuneración le suplico que no se olvide de gente como yo que quiere salir adelante pero no hay oportunidades
13,2974955937,2022-09-16 15:40:44+00:00,1570799857178411013,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",[<ReferencedTweet id=1570758420248272897 type=replied_to],"@petrogustavo GRACIAS DUQUE ‼️

GRACIAS DUQUE ‼️

GRACIAS DUQUE ‼️

GRACIAS DUQUE ‼️

GRACIAS DUQUE ‼️"
14,171636389,2022-09-16 15:40:44+00:00,1570799856922533888,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570411564863209473 type=quoted],La #GranMarchaNacional es una exigencia al respeto de las instituciones que empieza a violar el gobierno de la muerte de @petrogustavo y @FranciaMarquezM ellos saben que  la delincuencia del #Cauca es la gasolina que necesitan para cumplir sus objetivos bélicos en el país. https://t.co/4frNo8uGsP
15,90789387,2022-09-16 15:40:29+00:00,1570799795555676167,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570758420248272897 type=replied_to],@petrogustavo @infopresidencia Y esa gestión la hizo ud? 😂😂😂
16,1139755964536672256,2022-09-16 15:40:26+00:00,1570799782574301190,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570799551573032960 type=replied_to],@CrespoEwing @petrogustavo @policia
17,850028837966622720,2022-09-16 15:40:22+00:00,1570799766036185090,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570083941159243777 type=replied_to],"@AlejoGaleanoB @petrogustavo No desinformar, vago."
19,1496846118457647106,2022-09-16 15:40:08+00:00,1570799707181686785,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570798909487812609 type=replied_to],"@SrCalleArboleda @Jokeraton @petrogustavo @AlvaroUribeVel Uribe no es bandido! Es el mejor presidente, hasta hoy mejor presidente de la historia. Su elección fue histórica y hasta el momento insuperable. Es un DIOS de la patria justa. Gustavo uno de sus apóstoles"
20,274256303,2022-09-16 15:40:00+00:00,1570799672792616962,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570758420248272897 type=replied_to],"@petrogustavo Esas no son ""ayudas"", se quieren quedar con el Amazonas, cuando no tengamos agua nos va tocar comprársela."
21,796311750291423232,2022-09-16 15:39:59+00:00,1570799667641978880,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1570588273378197504 type=replied_to],"@FelicianoValen @petrogustavo El sistema apenas fue creado hace 76 años, mal estructurado. La informalidad era inmensa y la divulgación de la posibilidad de pensión demoró en llegar a todos. No hay con que pagar lo que se quisiera. Ley 100 mejoró y estructuró, pero falta https://t.co/B5AqDVK4DZ"
